"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.341996623E0,-3.445771933E-1,4.804391861E-1,-8.807312250E-1,1.060774596E0
2.352006239E0,-2.376607656E-1,2.469406128E-1,-8.884094954E-1,9.522256756E-1
2.361985546E0,-7.056176662E-2,8.851051331E-3,-7.464901209E-1,7.498698584E-1
2.371995392E0,3.883117437E-2,-2.385234833E-1,-4.842611551E-1,5.412117687E-1
2.382005008E0,7.184588909E-2,-4.540977478E-1,-1.611140966E-1,4.871594692E-1
2.391984392E0,1.021418571E-1,-6.016988754E-1,1.109575033E-1,6.203112632E-1
2.401994162E0,1.211144924E-1,-6.524190903E-1,3.111170530E-1,7.328800791E-1
2.412004008E0,5.268919468E-2,-6.062870026E-1,4.751139879E-1,7.720708402E-1
2.421983162E0,-8.183246851E-2,-4.055080414E-1,5.010761023E-1,6.497773348E-1
2.431992931E0,-2.795571685E-1,-1.314420700E-1,4.659686089E-1,5.590670556E-1
2.442002546E0,-4.018554688E-1,1.480007172E-2,4.659668207E-1,6.154932476E-1
2.451981931E0,-4.791334867E-1,3.773498535E-2,5.148153305E-1,7.042923056E-1
2.461991700E0,-4.842441082E-1,-2.202320099E-2,5.624679327E-1,7.425278130E-1
2.472001547E0,-4.277783632E-1,-1.189203262E-1,5.928606987E-1,7.406889901E-1
2.481980700E0,-3.078716993E-1,-1.787548065E-1,6.514005661E-1,7.423348043E-1
2.491990470E0,-1.648893356E-1,-2.372512817E-1,6.596983671E-1,7.201934457E-1
2.502000316E0,-6.400108337E-3,-2.743740082E-1,6.596552134E-1,7.144697742E-1
2.512009931E0,-1.288810372E-1,-7.507038116E-2,4.989268780E-1,5.207436159E-1
2.521989316E0,-3.752930164E-1,1.619710922E-1,2.701420784E-1,4.899553300E-1
2.531999085E0,-4.208741784E-1,2.785224915E-1,1.164771318E-1,5.179544136E-1
2.542008701E0,-2.468988895E-1,2.144107819E-1,-4.625964165E-2,3.302589885E-1
2.551988008E0,-8.552354574E-2,2.137155533E-1,-1.970562935E-1,3.030178170E-1
2.561997854E0,2.159102261E-1,7.258415222E-2,-2.230303288E-1,3.187918011E-1
2.572007470E0,5.778965950E-1,-2.665948868E-1,-7.963871956E-2,6.413888320E-1
2.581986854E0,8.614870906E-1,-4.186344147E-1,8.971714973E-2,9.620103676E-1
2.591996624E0,1.155979514E0,-5.079469681E-1,2.559030056E-1,1.288326476E0
2.602006470E0,1.433591127E0,-6.182985306E-1,2.532646656E-1,1.581650905E0
2.611985624E0,1.606445193E0,-7.495384216E-1,3.238911629E-1,1.802048692E0
2.621995393E0,1.673160315E0,-9.187393188E-1,1.072404385E-1,1.911817953E0
2.632005008E0,1.506936312E0,-1.010882378E0,-7.071185112E-2,1.815968170E0
2.641984393E0,1.254374266E0,-1.117650986E0,-2.266156673E-1,1.695273779E0
2.651994162E0,8.167585731E-1,-1.113988876E0,-6.174387932E-1,1.513042117E0
2.662004009E0,4.962395132E-1,-9.998970032E-1,-7.537002563E-1,1.346889657E0
2.671983162E0,4.410256445E-1,-6.517467499E-1,-1.024304628E0,1.291695559E0
2.681992932E0,4.033501148E-1,-1.180925369E-1,-1.064174175E0,1.144160757E0
2.692002778E0,4.779524505E-1,4.211521149E-1,-9.769301414E-1,1.166276189E0
2.701981932E0,5.041890144E-1,7.431888580E-1,-7.895979881E-1,1.195826586E0
2.711991701E0,4.512826800E-1,8.888216019E-1,-5.242145061E-1,1.126259626E0
2.722001547E0,3.065114915E-1,8.346061707E-1,-1.607422829E-1,9.035235670E-1
2.731980701E0,1.032275259E-1,6.627349854E-1,1.567564011E-1,6.888005170E-1
2.741990470E0,-6.970322132E-2,4.293947220E-1,3.862421513E-1,5.817399468E-1
2.752000316E0,-2.296378911E-1,2.263355255E-1,4.607312679E-1,5.623474303E-1
2.762009932E0,-3.079116940E-1,9.510993958E-2,4.884889126E-1,5.852152849E-1
2.771989240E0,-3.988405764E-1,9.361171722E-2,3.729677200E-1,5.540233562E-1
2.781999086E0,-5.241224766E-1,2.750253677E-1,1.664044857E-1,6.148445139E-1
2.792008701E0,-7.474863529E-1,5.243864059E-1,-8.825635910E-2,9.173364353E-1
2.801988009E0,-9.617139101E-1,7.628974915E-1,-3.924036026E-1,1.288753978E0
2.811997855E0,-1.023002028E0,7.559404373E-1,-5.559942722E-1,1.388203417E0
2.822007470E0,-8.867586851E-1,4.405775070E-1,-5.499434471E-1,1.132646150E0
2.831986778E0,-5.000474453E-1,-2.534484863E-2,-3.769295216E-1,6.267101987E-1
2.841996624E0,-8.433958888E-2,-5.458946228E-1,-1.322643757E-1,5.679858894E-1
2.852006470E0,3.671229780E-1,-9.652566910E-1,1.198801994E-1,1.039649471E0
2.861985624E0,7.157047987E-1,-1.283237457E0,3.033399582E-1,1.500315587E0
2.871995394E0,9.206949472E-1,-1.394369125E0,3.463227749E-1,1.706424305E0
2.882005240E0,8.553751707E-1,-1.202533722E0,2.499222755E-1,1.496734839E0
2.891984394E0,6.310214400E-1,-7.459707260E-1,9.601521492E-2,9.817735499E-1
2.901994163E0,3.315404654E-1,-2.186775208E-1,-2.770662308E-3,3.971732806E-1
2.912004009E0,1.341165602E-1,2.331409454E-1,7.553482056E-2,2.793697573E-1
2.921983163E0,1.580101550E-1,5.806560516E-1,2.544980049E-1,6.533742372E-1
2.931992932E0,3.182048202E-1,8.168325424E-1,4.752175808E-1,9.971466587E-1
2.942002778E0,5.565138459E-1,7.934780121E-1,7.051426172E-1,1.198557936E0
2.951981932E0,7.893328667E-1,5.088138580E-1,8.577362299E-1,1.271868451E0
2.961991702E0,8.622382879E-1,1.610479355E-1,8.681447506E-1,1.234125849E0
2.972001548E0,7.679629326E-1,-1.576461792E-1,5.891396999E-1,9.806655748E-1
2.981980702E0,5.356310010E-1,-3.972902298E-1,1.457633972E-1,6.826324515E-1
2.991990471E0,2.641533315E-1,-6.495876312E-1,-3.023591042E-1,7.636505098E-1
3.002000317E0,1.691270620E-1,-7.770404816E-1,-5.713212490E-1,9.791852954E-1
3.011979471E0,2.576033771E-1,-8.501567841E-1,-6.408421993E-1,1.095356007E0
3.021989240E0,5.765750408E-1,-8.149080276E-1,-5.573415756E-1,1.143303767E0
3.031999086E0,8.458758593E-1,-6.811418533E-1,-4.219384193E-1,1.165114682E0
3.042008702E0,9.972889423E-1,-4.418487549E-1,-3.500053883E-1,1.145565070E0
3.051988009E0,9.748067856E-1,-6.804180145E-2,-3.380775452E-1,1.034008889E0
3.061997856E0,8.829402328E-1,3.517694473E-1,-2.611415386E-1,9.856571929E-1
3.072007471E0,7.594131827E-1,5.857553482E-1,-1.368091106E-1,9.687798733E-1
